Gender,Stage Name,Full Name,Date of Birth,Group,Country,Second Country,Birthplace,Other Group,Former Group,Position,SK_Province,Short,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
Female,Boa,Kim Boah,1987-01-14,KEEMBO,South Korea,,,,SPICA,,,,2012-02-07,ARA-LINE,2.0,2.0,,Yes
Female,Boeun,Park Boeun,2008-02-11,CLASS:y,South Korea,,,,,,,,2022-05-05,Universal,7.0,7.0,,Yes
Female,Bohyung,Kim Bohyung,1991-03-31,KEEMBO,South Korea,,,SPICA-S,SPICA,,,,2012-02-07,ARA-LINE,2.0,2.0,,Yes
Female,Bom,Park Bom,1984-03-24,2NE1,South Korea,,,,,,,,2009-05-06,YG,4.0,4.0,Blackjack,No
Female,Bomi,Yoon Bomi,1993-08-13,Apink,South Korea,,Suwon,Chobom,,,Gyeonggi-do,,2011-04-19,Plan A,5.0,7.0,Pink Panda,Yes
Female,Bomin,Kim Bomin,2001-09-24,RedSquare,South Korea,,Gwangju,,Good Day,Dancer,Gwangju,RSQ,2017-08-30,About,5.0,5.0,,Yes
Female,Bona,Kim Jiyeon,1995-08-19,WJSN,South Korea,,Daegu,WJSN The Black,,,Daegu,Cosmic Girls,2016-02-25,Starship,10.0,12.0,Ujung,Yes
Female,Boni,Choi Euijeong,1999-10-30,Dreamnote,South Korea,,,,,,,,2018-11-07,iME,6.0,8.0,,Yes
Female,Bora,Yoon Bora,1989-12-30,SISTAR,South Korea,,,SISTAR19,,,,,2010-03-06,Starship,4.0,4.0,STAR1,No
Female,Bora,Kim Bora,1999-03-03,Cherry Bullet,South Korea,,,,,,,,2019-01-21,FNC,7.0,10.0,,Yes
Female,Boram,Jeon Boram,1986-03-22,,South Korea,,Seoul,,T-ara,,Seoul,,2009-07-29,,,,,No
Female,Cao Lu,Cao Lu,1987-08-30,Fiestar,China,,Zhangjiajie,,,,,,2012-08-31,LOEN,5.0,6.0,Let's,No
Female,Chaebin,Choi Yoobin,1999-07-28,NATURE,South Korea,,,,,,,,2018-08-03,n.CH,9.0,9.0,,Yes
Female,Chaeeun,Yoon Chaeeun,2005-12-10,ADYA,South Korea,,Mokpo,,,,Jeollanam-do,,2023-05-09,Starting House,5.0,5.0,,Yes
Female,Chaehyun,Kim Chaehyun,1999-11-29,Bonus Baby,South Korea,,,,,,,,2017-01-01,Maroo,6.0,6.0,,No
Female,Chaehyun,Kim Chaehyun,2002-04-26,Kep1er,South Korea,,,,,,,,2022-09-07,WakeOne,9.0,9.0,,Yes
Female,Chaein,Lee Chaeyoung,2002-12-05,Purple Kiss,South Korea,,,,,,,,2021-03-15,RBW,6.0,7.0,,Yes
Female,Chaejeong,Lee Chaejeong,1999-08-26,ALICE,South Korea,,,,,,,ELRIS,2017-07-01,IOK Company,7.0,5.0,,Yes
Female,Chaekyung,Yoon Chaekyung,1996-07-07,April,South Korea,,Incheon,"C.I.V.A, I.B.I",Puretty,,Incheon,,2015-08-24,DSP,6.0,6.0,Fineapple,No
Female,Chaelin,Lee Chaelin,1999-10-20,FANATICS,South Korea,,,,,,,,2019-08-06,FENT,8.0,6.0,,Yes
Female,Chaerin,Park Chaerin,2002-03-13,Cherry Bullet,South Korea,,,,,,,,2019-01-21,FNC,7.0,10.0,,Yes
Female,Chaerin,Park Chaerin,2003-03-31,ICHILLIN',South Korea,,,,,,,,2021-09-08,KM,7.0,7.0,,Yes
Female,Chaerin,Lee Chaerin,2007-07-07,KELT9b,South Korea,,,,,,,,,,,,,
Female,Chaeryeong,Lee Chaeryeong,2001-06-05,ITZY,South Korea,,Yongin,,,,Gyeonggi-do,,2019-02-12,JYP,5.0,5.0,Mitzy,Yes
Female,Chaesol,Maeng Chaesol,1998-07-14,cignature,South Korea,,Yeosu,,Good Day,,Jeollanam-do,,2017-08-30,C9,7.0,7.0,,Yes
Female,Chaewon,Kim Chaewon,1997-11-08,April,South Korea,,Gongju,,,,Chungcheongnam-do,,2015-08-24,DSP,6.0,6.0,Fineapple,No
Female,Chaewon,Kim Chaewon,2000-08-01,LE SSERAFIM,South Korea,,Seoul,,IZ*ONE,,Seoul,,2022-05-02,Source,5.0,6.0,FEARNOT,Yes
Female,Chaewon,Lee Chaewon,2000-03-18,Maka Maka,South Korea,,,,,,,,2020-08-04,Dreamus,5.0,5.0,,Yes
Female,Chaewon,Yoon Chaewon,2003-06-04,CLASS:y,South Korea,,,,,,,,2022-05-05,Universal,7.0,7.0,,Yes
Female,ChaeY,Song Chaeyeon,2003-01-06,CRAXY,South Korea,,,,,,,,2020-03-03,SAITEINMENT,5.0,5.0,,Yes
Female,Chaeyeon,Jung Chaeyeon,1997-12-01,DIA,South Korea,,Suncheon,,I.O.I,,Jeollanam-do,,2015-07-14,MBK,6.0,7.0,AID,Yes
Female,Chaeyeon,Kim Chaeyeon,2004-12-04,tripleS,South Korea,,,,Busters,,,,2017-11-27,MODHAUS,20.0,24.0,,Yes
Female,Chaeyeon,Lee Chaeyeon,2000-01-11,IZ*ONE,South Korea,,Yongin,,,,Gyeonggi-do,IZONE,2018-10-29,Off The Record,12.0,12.0,,No
Female,Chaeyoung,Son Chaeyoung,1999-04-23,Twice,South Korea,,Seoul,,,,Seoul,,2015-10-20,JYP,9.0,9.0,Once,Yes
Female,Chaeyoung,Lee Chaeyoung,2000-05-14,fromis_9,South Korea,,Pohang,,,,Gyeongsangbuk-do,,2018-01-24,Off The Record,9.0,9.0,,Yes
Female,Chahee,Park Sooyoung,1996-03-24,MelodyDay,South Korea,,,,,Sub Vocalist,,,2014-02-25,Cre.Ker,4.0,3.0,,No
Female,Chanmi,Kim Chanmi,1996-06-19,AOA,South Korea,,Gumi,,,,Gyeongsangbuk-do,,2012-07-30,FNC,4.0,8.0,ELVIS,Yes
Female,Chanty,Maria Chantal Videla,2002-12-15,Lapillus,Philippines,Argentina,Manila,,,,,,2022-06-22,MLD,6.0,6.0,LAPIS,Yes
Female,Cheng Xiao,Cheng Xiao,1998-07-15,,China,,Shenzhen,,WJSN,,,,2016-02-25,,,,,No
Female,Cheongeum,Jang Cheongeum,1996-06-19,Ho1iday,South Korea,,,,,,,,2019-04-18,,,,,
Female,Chi.u,Lee Jaeyi,1998-08-16,,South Korea,,,,X:IN,,,,2023-04-11,,,,,No
Female,Chiayi,Li Chiayi,2000-01-22,FANATICS,Taiwan,,,FANATICS FLAVOR,,,,,2019-08-06,FENT,8.0,6.0,,Yes
Female,Chiquita,Riracha Phondechaphiphat,2009-02-17,BABYMONSTER,Thailand,,,,,,,,2023-11-27,YG,7.0,7.0,,Yes
Female,Chloe,Yun Jiwon,2001-01-06,cignature,South Korea,,Seoul,,,,Seoul,,2020-02-04,C9,7.0,7.0,,Yes
Female,Chloe Young,Chloe Duong,2001-10-31,BADVILLAIN,South Korea,Canada,,,,,,,2024-06-03,,,,,
Female,Choa,Park Choa,1990-03-06,,South Korea,,Incheon,,"AOA, AOA BLACK",,Incheon,,2012-08-09,,,,,No
Female,Choa,Heo Minjin,1990-07-12,Crayon Pop,South Korea,,Seoul,,,,Seoul,,2012-07-18,Chrome,4.0,5.0,,No
Female,Choerry,Choi Yerim,2001-06-04,ARTMS,South Korea,,,"Loona Odd Eye Circle, ARTMS",LOONA,,,,2024-05-31,,,,,
Female,Chorong,Park Chorong,1991-03-03,Apink,South Korea,,Cheongju,Chobom,,,Chungcheongbuk-do,,2011-04-19,Plan A,5.0,7.0,Pink Panda,Yes
Female,Chowon,Han Chowon,2002-09-16,LIGHTSUM,South Korea,,Seoul,,,,Seoul,,2021-06-10,Cube,6.0,8.0,SUMIT,Yes
Female,Chowon,Kim Chowon,2005-08-18,ICHILLIN',South Korea,,,,,,,,2021-09-08,KM,7.0,7.0,,Yes
Female,Choyeon,Kim Choyeon,2001-08-01,bugAboo,South Korea,,,,,,,,2021-10-25,A team,6.0,6.0,,No
Female,Chungha,Kim Chungha,1996-02-09,,South Korea,,Dallas,,I.O.I,,,,2016-05-04,,,,,No
Female,Chuu,Kim Jiwoo,1999-10-20,,South Korea,,Cheongju,Loona yyxy,LOONA,,Chungcheongbuk-do,,2018-08-19,,,,,No
Female,CL,Lee Chaerin,1991-02-26,2NE1,South Korea,,,,,,,,2009-05-06,YG,4.0,4.0,Blackjack,No
Female,Cyan,Lee Chaeeun,2001-04-04,bugAboo,South Korea,,Sanbon,,,,Gyeonggi-do,,2021-10-25,A team,6.0,6.0,,No
Female,D.ana,Cho Eunae,1995-09-10,Sonamoo,South Korea,,Seoul,,,Rapper,Seoul,,2014-12-29,TS,5.0,7.0,Solbangul,No
Female,Dabi,Park Jiwon,2000-01-19,AREAL,South Korea,,,,MIDNIGHT,,,,2020-08-21,JZ Factory,4.0,4.0,,No
Female,Daeun,Jung Daeun,1994-06-03,2EYES,South Korea,,Bucheon,,,,Gyeonggi-do,,2013-07-20,SidusHQ,4.0,5.0,,No
Female,Daewang Nim,Daewang Nim,1996-04-08,Pink Fantasy,South Korea,,,,,,,,2018-10-28,My Doll,8.0,8.0,,Yes
Female,Dahye,Song Dahye,1993-06-12,Dahye,South Korea,,,,BESTie,,,,2013-07-11,,,,,
Female,Dahyun,Kim Dahyun,1998-05-28,Twice,South Korea,,Seongnam,,,,Gyeonggi-do,,2015-10-20,JYP,9.0,9.0,Once,Yes
Female,Dahyun,Jeong Dahyun,2005-04-29,Rocket Punch,South Korea,,,,,,,,2019-08-07,Woollim,6.0,6.0,,Yes
Female,Dahyun,Seo Dahyun,2003-01-08,tripleS,South Korea,,Busan,,,,Busan,,2023-02-13,MODHAUS,20.0,24.0,,Yes
Female,Dain,Song Jieun,1990-06-25,,South Korea,,,,Wassup,,,,2013-08-07,,,,,No
Female,Dain,Jung Dain,2004-12-15,HOT ISSUE,South Korea,,,,,,,,2021-04-28,,,,,
Female,Daisy,Yoo Jeongahn,1999-01-22,,South Korea,,Seoul,,MOMOLAND,,Seoul,,2016-11-09,,,,,No
Female,Dajeong,Kim Dajeong,1995-08-08,Hashtag,South Korea,,Gwangju,,,,Gwangju,Hashtag,2017-10-11,LUK,7.0,7.0,,Yes
Female,Dajeong,Jung Dajeong,2003-07-31,Pixy,South Korea,,,,,,,,2021-02-24,ALLART,5.0,6.0,Winxy,Yes
Female,Dakyung,Jung Dakyung,2001-07-23,Hi-L,South Korea,,,,,,,,2021-08-11,Kpop Live,6.0,6.0,,Yes
Female,Dalyn,Lee Sohyun,1999-08-27,ANS,South Korea,,,,,,,,2019-09-16,ANS,8.0,6.0,,No
Female,Damhee,Park Damhee,2000-06-21,ARTBEAT,South Korea,,,,,,,,2022-11-16,,,,,
Female,Dami,Lee Yoobin,1997-03-07,Dreamcatcher,South Korea,,Seoul,,Minx,,Seoul,,2017-01-13,Happy Face,7.0,7.0,,Yes
Female,Dami,Hong Dayoung,2001-06-07,ANS,South Korea,,,,,,,,2019-09-16,ANS,8.0,6.0,,No
Female,Damin,Kang Damin,2004-03-24,Queenz Eye,South Korea,,Seoul,,,,Seoul,,2022-10-24,Big Mountain,6.0,6.0,,Yes
Female,Dan-a,Park Seungyeon,1993-06-26,Matilda,South Korea,,,,,,,,2016-03-18,Box,4.0,4.0,,No
Female,Dana,Jang Dana,2003-12-25,HOT ISSUE,South Korea,,,,,,,,2021-04-28,,,,,
Female,Danielle,Mo Jihye,2005-04-11,NewJeans,South Korea,Australia,Munsan,,,,Gyeonggi-do,NWJNS,2022-07-22,ADOR,5.0,5.0,Bunnies,Yes
Female,Dany,Jeon Eunji,1998-01-20,Ho1iday,South Korea,,,,,,,,2019-04-18,,,,,
Female,Dara,Park Sandara,1984-11-12,2NE1,South Korea,,,,,,,,2009-05-06,YG,4.0,4.0,Blackjack,No
Female,Daseul,Yang Daseul,2000-09-14,Maka Maka,South Korea,,,,,,,,2020-08-04,Dreamus,5.0,5.0,,Yes
Female,Dasom,Kim Dasom,1993-05-06,SISTAR,South Korea,,,,,,,,2010-03-06,Starship,4.0,4.0,STAR1,No
Female,Dasom,Lee Dasom,1993-11-13,2EYES,South Korea,,Cheongju,,,,Chungcheongbuk-do,,2013-07-20,SidusHQ,4.0,5.0,,No
Female,Dawon,Nam Dawon,1997-03-16,WJSN,South Korea,,Seoul,,,,Seoul,Cosmic Girls,2016-02-25,Starship,10.0,12.0,Ujung,Yes
Female,Dawon,Lee Dawon,1996-12-02,ARIAZ,South Korea,,,,,,,,2019-10-23,Rising Star,6.0,6.0,,No
Female,Daye,Kim Hyunjung,1998-02-25,Berry Good,South Korea,,,,,,,,2014-05-21,Asia Bridge,6.0,5.0,,No
Female,Dayeon,Hwang Da Kyeon,1995-11-17,XUM,South Korea,,,,NeonPunch,,,,2020-09-22,A100,3.0,3.0,AWEXUM,No
Female,Dayeon,Kim Dayeon,2003-03-02,Kep1er,South Korea,,,,,,,,2022-09-07,WakeOne,9.0,9.0,,Yes
Female,Dayoung,Kim Dayoung,1991-02-02,Blady,South Korea,,Jeonju,,,,Jeollabuk-do,,2011-05-16,Star Planet,5.0,4.0,Hi ade,No
Female,Dayoung,Im Dayoung,1999-05-14,WJSN,South Korea,,Jeju,WJSN Chocome,,,,Cosmic Girls,2016-02-25,Starship,10.0,12.0,Ujung,Yes
Female,Dayun,Kim Dayun,2000-11-20,Bonus Baby,South Korea,,,,,,,,2017-01-01,Maroo,6.0,6.0,,No
Female,Della,Park Sehyun,1995-09-03,Rockit Girl,South Korea,,,,,,,,2019-05-30,Rolling,2.0,2.0,,Yes
Female,Denise,Kim Denise,2001-01-11,,South Korea,USA,,,SECRET NUMBER,,,,2020-05-19,,,,,No
Female,Dia,Kwak Minnyeong,1999-09-03,Maka Maka,South Korea,,,,,,,,2020-08-04,Dreamus,5.0,5.0,,Yes
Female,Dia,Choi Eunji,2001-07-16,Pixy,South Korea,,,,,,,,2021-02-24,ALLART,5.0,6.0,Winxy,Yes
Female,Dita,Dita Karang,1996-12-25,SECRET NUMBER,Indonesia,,Yogyakarta,,,,,,2020-05-19,Vine,5.0,5.0,,Yes
Female,Do-A,Choi Yuna,1999-02-02,ALICE,South Korea,,,,,,,ELRIS,2017-07-01,IOK Company,7.0,5.0,,Yes
Female,Doa,Im Youngseo,2001-10-29,We-Na,South Korea,,,,,,,,2022-09-05,Shine E&M,4.0,4.0,Mymean,Yes
Female,Doah,Kim Doah,2003-12-04,FANATICS,South Korea,,,FANATICS FLAVOR,,,,,2019-08-06,FENT,8.0,6.0,,Yes
Female,Doeun,Kim Doeun,2007-12-24,YOUNG POSSE,South Korea,,Asan,,,,Chungcheongnam-do,,2023-10-18,DSP,5.0,5.0,,Yes
Female,Dohee,Yoon Dohee,1999-09-24,,South Korea,,,,NeonPunch,,,,2018-06-27,,,,,No
Female,Dohee,Min Dohee,1994-09-25,Tiny-G,South Korea,,,,,,,,2012-08-23,GNG,3.0,4.0,,No
Female,Dohee,Kwon Dohee,2002-08-01,cignature,South Korea,,Seoul,,,,Seoul,,2020-02-04,C9,7.0,7.0,,Yes
Female,Doi,Kim Doi,1994-04-12,FANATICS,South Korea,,,,,,,,2019-08-06,FENT,8.0,6.0,,Yes
Female,Dosie,Jang Eunseung,2000-02-11,Purple Kiss,South Korea,,,,,,,,2021-03-15,RBW,6.0,7.0,,Yes
Female,Doyeon,Kim Doyeon,1999-12-04,Weki Meki,South Korea,,Incheon,"I.O.I, WJMK",,,Incheon,WeMe,2017-08-08,Fantagio,8.0,8.0,,Yes
Female,Duna,Kang Duna,2005-04-28,CSR,South Korea,,Gangwon,,,,,,2022-07-27,A2Z,7.0,7.0,Maeum,Yes
Female,E-Young,Noh Yiyoung,1992-08-16,After School,South Korea,,Chuncheon,,,,Gangwon-do,,2009-01-15,Pledis,6.0,5.0,Playgirlz,No
Female,E.Ji,Choi Jiwon,2000-11-08,ICHILLIN',South Korea,,,,,,,,2021-09-08,KM,7.0,7.0,,Yes
Female,E.sha,Kwon Yena,1998-12-29,X:IN,Australia,South Korea,,,,,,,2023-04-11,Escrow,5.0,5.0,,Yes
Female,E:U,Park Jiwon,1998-05-19,Everglow,South Korea,,,,,,,,2019-03-18,Yuehua,6.0,6.0,,Yes
Female,EJ,Kim Eunji,1997-08-13,ALICE,South Korea,,,,,,,ELRIS,2017-07-01,IOK Company,7.0,5.0,,Yes
Female,Elisia,Elisia Lyrisse Parmisano,2009-04-18,UNIS,Philippines,,,,,,,,2024-03-27,,,,,
Female,Elkie,Chong Ting Yan,1998-11-02,,Hong Kong,,Hong Kong,,CLC,,,,2015-03-19,,,,,No
Female,Ella,Kim Kyungjoo,1998-03-26,,South Korea,,,,"Cherry Bullet, Pixy",,,,2019-01-21,,,,,No
Female,Ellin,Kim Minyoung,1990-04-02,Crayon Pop,South Korea,,Daegu,,,,Daegu,,2012-07-18,Chrome,4.0,5.0,,No
Female,Elly,Jung Haerim,1998-07-20,Weki Meki,South Korea,,,,,,,WeMe,2017-08-08,Fantagio,8.0,8.0,,Yes
Female,Ellyn,Bang Sunhee,2002-10-19,Girlkind,South Korea,,,,,,,,2018-01-16,Nextlevel,5.0,5.0,,Yes
Female,Elva,Lee Yonghwa,2003-05-05,ILY:1,South Korea,,,,,,,,2022-04-04,FC ENM,6.0,6.0,,Yes
Female,Emma,Song Hyemin,2000-04-26,BADVILLAIN,South Korea,,Seoul,,,,Seoul,,2024-06-03,,,,,
Female,Eseo,Noh Hyunjung,1996-03-04,LUNARSOLAR,South Korea,,,,,,,,2020-09-02,J Planet,4.0,4.0,Haedal,No
Female,Euaerin,Lee Hyemin,1988-05-03,,South Korea,,Seoul,,9Muses,,Seoul,,2010-08-12,,,,,No
Female,Euijeong,Yeon Euijeong,2001-07-21,KELT9b,South Korea,,,,,,,,,,,,,
Female,Euijin,Hong Euijin,1996-10-08,Sonamoo,South Korea,,Gwangju,UNI.T,,,Gwangju,,2014-12-29,TS,5.0,7.0,Solbangul,No
Female,Eun,Choi Eunmi,1990-05-14,Two X,South Korea,,,,,,,,2012-08-20,J. Tune,4.0,5.0,,No
Female,Euna,,2003-05-25,We-Na,South Korea,,,,,,,,2022-09-05,Shine E&M,4.0,4.0,Mymean,Yes
Female,EunB,Shin Eunbi,2000-09-17,Maka Maka,South Korea,,,,Lip Bubble,,,,2020-08-04,Dreamus,5.0,5.0,,Yes
Female,EunB,Byun Eunbi,2000-11-23,PRECIOUS,South Korea,,Busan,,,,Busan,PRCS,2020-09-23,Umi,5.0,5.0,,Yes
Female,Eunbi,Kwon Eunbi,1995-09-27,IZ*ONE,South Korea,,Seoul,,,,Seoul,IZONE,2018-10-29,Off The Record,12.0,12.0,,No
Female,Eunbin,Kwon Eunbin,2000-01-06,CLC,South Korea,,Seoul,,,,Seoul,,2015-03-19,Cube,5.0,5.0,Chesire,Hiatus
Female,Eunchae,Kwon Chaewon,1999-05-26,DIA,South Korea,,,,,,,,2015-07-14,MBK,6.0,7.0,AID,Yes
Female,Eunchae,Son Eunchae,1999-10-06,bugAboo,South Korea,,Pohang,,,,Gyeongsangbuk-do,,2021-10-25,A team,6.0,6.0,,No
Female,Eunchae,Hong Eunchae,2006-11-10,LE SSERAFIM,South Korea,,,,,,,,2022-05-02,Source,5.0,6.0,FEARNOT,Yes
Female,Eunha,Jung Eunbi,1997-05-30,VIVIZ,South Korea,,Seoul,,Gfriend,,Seoul,,2015-01-15,Big Planet Made,3.0,3.0,,Yes
Female,Eunice,Heo Sooyeon,1991-09-02,DIA,South Korea,,Busan,,,,Busan,,2015-07-14,MBK,6.0,7.0,AID,Yes
Female,Eunji,Jung Eunji,1993-08-18,Apink,South Korea,,Busan,,,,Busan,,2011-04-19,Plan A,5.0,7.0,Pink Panda,Yes
Female,Eunji,Hong Eunji,1992-07-19,Brave Girls,South Korea,,Seoul,,,,Seoul,,2011-04-08,Brave,4.0,5.0,,Yes
Female,Eunjin,Ahn Eunjin,1997-08-31,,South Korea,,Mokpo,,DIA,,Jeollanam-do,,2015-07-14,,,,,No
Female,Eunjin,Ma Eunjin,1997-05-23,Playback,South Korea,,Wonju,,,,Gangwon-do,,2015-06-25,Coridel,5.0,4.0,,No
Female,Eunjin,Moon Eunjin,1998-11-05,Highteen,South Korea,,,,,,,,2016-10-14,Elijah,4.0,4.0,,No
Female,Eunjo,Park Eunjo,2002-03-07,Dreamnote,South Korea,,,,,,,,2018-11-07,iME,6.0,8.0,,Yes
Female,Eunjung,Ham Eunjung,1988-12-12,T-ara,South Korea,,Seoul,,,,Seoul,,2009-07-29,MBK,4.0,6.0,QUEEN'S,Hiatus
Female,Eunseo,Son Juyeon,1998-05-27,WJSN,South Korea,,Incheon,WJSN The Black,,,Incheon,Cosmic Girls,2016-02-25,Starship,10.0,12.0,Ujung,Yes
Female,Eunwoo,Jeong Eunwoo,1998-07-01,Hinapia,South Korea,,,Pristin V,Pristin,,,,2017-03-21,Alseulbit,5.0,5.0,,No
Female,Eunyoung,Joo Eunyoung,1992-06-12,Two X,South Korea,,,,,,,,2012-08-20,J. Tune,4.0,5.0,,No
Female,Exy,Chu Sojung,1995-11-06,WJSN,South Korea,,Busan,WJSN The Black,,Leader,Busan,Cosmic Girls,2016-02-25,Starship,10.0,12.0,Ujung,Yes
Female,Fatou,Fatou Samba,1995-03-23,BLACKSWAN,Belgium,Senegal,Yoff,,,,,,2020-10-16,DR,5.0,5.0,,Yes
Female,Fei,Wang FeiFei,1987-04-27,miss A,China,,Haikou,,,,,,2010-07-01,JYP,3.0,4.0,Say A,No
Female,Gabi,Gabriela Strassburger Dalcin,2002-11-07,BLACKSWAN,Brazil,Germany,Santa Catarina,,,,,,2020-10-16,DR,5.0,5.0,,Yes
